"IndicatorKey","AvgDenominator","AvgEnrollment","AvgRate","NumPlans"
"200004_20",45004.6334913112,48455.4723538705,94.9252922590837,633
"200659_20",1186.12301587301,60496.3194444445,82.4039880952381,504
"200700_20",1309.17863105176,51049.2954924876,75.6748080133556,599
"200704_20",2840.61316211879,49222.5024077048,72.3829534510433,623
"200705_20",903.020866773678,49222.5024077048,73.7775280898876,623
"200707_20",387.317817014446,49222.5024077048,72.9030497592295,623
"200711_20",387.317817014446,49222.5024077048,17.7486195826645,623
"200740_20",2347.69407894737,50401.7894736842,71.703125,608
"200747_20",4802.67171717171,51491.6616161617,32.7065488215488,594
"200757_20",9160.5685840708,41822.2676991151,8.84391592920354,452
"200767_20",394.803738317757,125458.037383178,11.0053271028037,107
"201175_20",251.318181818182,98631.1783216783,37.1670629370629,286
"201179_20",399.524355300859,83675.9226361031,48.7856733524355,349
"201181_20",218.967153284672,102892.908759124,49.2274087591241,274
"201828_20",57203.0774091627,48455.4723538705,48.7358293838863,633
"201958_20",348.27027027027,88707.5615615615,42.3411711711712,333
"201962_20",121.802721088435,173788.707482993,71.5797959183674,147
"201964_20",724.344594594595,67861.0225225225,74.1989189189189,444
"202143_20",9174.93174603174,48658.8380952381,31.7397301587302,630
"202446_20",524.774611398964,76675.3497409326,78.2049740932643,386
"202451_20",2488.2953271028,56762.5813084111,85.7780560747664,535
"202455_20",4503.52430555555,52832.1944444445,78.5635243055556,576
"202457_20",1116.51494252873,69452.7126436781,28.6845517241379,435
"202517_10",388.40404040404,51269.5033670034,71.4603367003367,594
"202520_10",351.357504215852,51354.2748735244,44.9869645868465,593
"202523_10",455.73063973064,51269.5033670034,86.0345117845118,594
"202526_10",351.357504215852,51354.2748735244,28.762023608769,593
"202527_10",3729.22240527182,50442.3756177924,5.36464579901153,607
"202530_10",4618.45888157895,50334.4013157893,0.802861842105263,608
"202534_10",34180.4203539823,41880.5774336283,4.96121681415929,452
"202548_10",532.414364640883,128518.690607735,66.7054143646409,181
"202551_10",5988.29818780889,50382.7726523888,57.005370675453,607
"203430_10",8074.52153110046,48885.880382775,31.0962679425837,627
"203431_10",37064.2866242038,48802.0015923567,45.610398089172,628
"203432_10",8074.52153110046,48885.880382775,28.9203987240829,627
"203433_10",6755.84848484846,48885.880382775,13.223014354067,627
"203602_10",9765.8067978533,54569.9499105546,72.0437209302326,559
"210067_10",180.705583756345,129446.939086294,32.4323350253807,197
"210077_10",525.56204379562,73551.3625304136,11.272895377129,411
"210087_10",10787.3800322061,49378.5587761674,52.3356843800322,621
"210088_10",7684.8296041308,52631.769363167,51.0882099827883,581
"210096_10",27921.4117647059,50008.4281045752,16.7898039215686,612
"210505_10",1537.47378640777,59216.891262136,34.7719029126214,515
